grade;source;analogue;analogue_norm;analogues_raw
45Г;splav;1.0912;1.0912;1040 1045 1046 G10460 1.0912 46Mn7 C45E S45C S48C 080M46 C45 45 ML45Mn 45G
45Г;splav;46Mn7;46Mn7;1040 1045 1046 G10460 1.0912 46Mn7 C45E S45C S48C 080M46 C45 45 ML45Mn 45G
45Г;splav;ML45Mn;ML45Mn;1040 1045 1046 G10460 1.0912 46Mn7 C45E S45C S48C 080M46 C45 45 ML45Mn 45G
45Г;splav;45G;45G;1040 1045 1046 G10460 1.0912 46Mn7 C45E S45C S48C 080M46 C45 45 ML45Mn 45G
15Х13Л;splav;Gr.CA40;Gr.CA40;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
15Х13Л;splav;J91171;J91171;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
15Х13Л;splav;J91201;J91201;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
15Х13Л;splav;GX12Cr13;GX12Cr13;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
15Х13Л;splav;SCS1;SCS1;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
15Х13Л;splav;Z12C13-M;Z12C13-M;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
15Х13Л;splav;410C21;410C21;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
15Х13Л;splav;ANC1A;ANC1A;410 Gr.CA40 J91150 J91171 J91201 S41000 S41001 1.4006 GX12Cr13 X10Cr13 X12Cr13 SCS1 SUS410 Z10C13 Z12C13 Z12C13-M 410C21 410S21 ANC1A X12Cr13KD X12Cr9KG F.3401 1Cr12 1Cr13 ZG15Cr13 ZG1Cr13 2302 1Ch13 1Ch13L AoX12Cr13 KO2 1H13 LOH13 10Cr130 12C130 T15Cr130 17021 422905 G-X12Cr13 BOHLERN100 STS410 STS410TKA STSF410-A STSF410-B STSF410-C STSF410-D
