grade;source;link;element;value;issue_type
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;c;1.10-1.20;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;cr;3.00-3.60;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;mo;3.80-4.30;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;v;2.30-2.70;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;w;8.50-9.50;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;co;7.50-8.50;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;ni;0.00-0.40;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;mn;0.00-0.50;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;si;0.00-0.60;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;s;0.000-0.030;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;p;0.000-0.030;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;cu;0.00-0.25;range
R9M4K8-MP;zknives;https://zknives.com/knives/steels/r9m4k8-mp.shtml;n;0.02-0.06;range
CTS-40CP;zknives;https://zknives.com/knives/steels/cts-40cp.shtml;c;0.96-1.20;range
CTS-40CP;zknives;https://zknives.com/knives/steels/cts-40cp.shtml;cr;16.00-18.00;range
CTS-40CP;zknives;https://zknives.com/knives/steels/cts-40cp.shtml;s;0.000-0.030;range
CTS-40CP;zknives;https://zknives.com/knives/steels/cts-40cp.shtml;p;0.000-0.040;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;c;0.27 - 0.33;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;cr;14 - 16;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;w;2.5 - 3.5;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;ni;34 - 36;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;mn;0.5 - 1;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;si;"до &nbsp; 0.6";qualifier
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;s;"до &nbsp; 0.015";qualifier
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;p;"до &nbsp; 0.025";qualifier
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;nb;2.8 - 3.5;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;c;"до &nbsp; 3";qualifier
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;cr;1 - 2.5;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;ni;18 - 22;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;mn;0.5 - 1.5;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;si;1.5 - 3;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;p;"до &nbsp; 0.08";qualifier
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;cu;"до &nbsp; 0.5";qualifier
УСМ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1645;cu;"до &nbsp; 0.02";qualifier
K765;zknives;https://zknives.com/knives/steels/k765.shtml;c;1.40-1.50;range
K765;zknives;https://zknives.com/knives/steels/k765.shtml;v;3.00-3.50;range
K765;zknives;https://zknives.com/knives/steels/k765.shtml;mn;0.30-0.50;range
K765;zknives;https://zknives.com/knives/steels/k765.shtml;si;0.20-0.35;range
1.2311;zknives;https://zknives.com/knives/steels/1.2311.shtml;c;0.35-0.45;range
1.2311;zknives;https://zknives.com/knives/steels/1.2311.shtml;cr;1.80-2.10;range
1.2311;zknives;https://zknives.com/knives/steels/1.2311.shtml;mo;0.15-0.25;range
1.2311;zknives;https://zknives.com/knives/steels/1.2311.shtml;mn;1.30-1.60;range
1.2311;zknives;https://zknives.com/knives/steels/1.2311.shtml;si;0.20-0.40;range
SUJ151100;marki;;c;0,95-1,10;range
SUJ151100;marki;;c;0,95-1,10;comma
SUJ151100;marki;;s;0,025;comma
SUJ151100;marki;;p;0,025;comma
МК;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1374;cu;98.8 - 99.1;range
VegaA6;marki;;c;0,7;comma
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;c;0.35 - 0.45;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;cr;1 - 1.4;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;v;0.15 - 0.3;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;mn;0.5 - 0.8;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;si;0.2 - 0.5;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;s;"до &nbsp; 0.04";qualifier
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;p;"до &nbsp; 0.04";qualifier
45Г;splav;http://www.splav-kharkov.com/mat_start.php?name_id=150;c;0.42 - 0.5;range
45Г;splav;http://www.splav-kharkov.com/mat_start.php?name_id=150;cr;"до &nbsp; 0.3";qualifier
