grade;source;link;element;value;issue_type
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;c;0.27 - 0.33;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;cr;14 - 16;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;w;2.5 - 3.5;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;ni;34 - 36;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;mn;0.5 - 1;range
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;si;"до &nbsp; 0.6";qualifier
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;s;"до &nbsp; 0.015";qualifier
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;p;"до &nbsp; 0.025";qualifier
Св-30Х15Н35В3Б3Т;splav;http://www.splav-kharkov.com/mat_start.php?name_id=3207;nb;2.8 - 3.5;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;c;"до &nbsp; 3";qualifier
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;cr;1 - 2.5;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;ni;18 - 22;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;mn;0.5 - 1.5;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;si;1.5 - 3;range
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;p;"до &nbsp; 0.08";qualifier
S-NiCr20-2;splav;http://www.splav-kharkov.com/mat_start.php?name_id=871;cu;"до &nbsp; 0.5";qualifier
УСМ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1645;cu;"до &nbsp; 0.02";qualifier
МК;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1374;cu;98.8 - 99.1;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;c;0.35 - 0.45;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;cr;1 - 1.4;range
40ХФЛ;splav;http://www.splav-kharkov.com/mat_start.php?name_id=1716;v;0.15 - 0.3;range
