grade;source_file;reason;original_grade;uns;en;manufacturer;country;standard_expected;standard_source
1925hMo, 25-6Mo;Аустенитные стали.csv;trademark;1925hMo, 25-6Mo™;N08925;1.4529;;Германия;W-Nr (DIN), Германия;en:1.4529
20 Cb3;Аустенитные стали.csv;trademark;20 Cb3™;N08020;2.466;;Германия;W-Nr (DIN), Германия;en:2.466
20 Mo6;Аустенитные стали.csv;trademark;20 Mo6™;N08026;2.4858;;Германия;W-Nr (DIN), Германия;en:2.4858
254SMO;Аустенитные стали.csv;trademark;254SMO™;S31254;1.4547;Alleima;Швеция;Alleima, Швеция;trademark_map
AL-6XN;Аустенитные стали.csv;trademark;AL-6XN®;N08367;1.4547;ATI;США;ATI, США;trademark_map
AMAGNIT 3890 mod;Спец сплавы.csv;missing_standard;AMAGNIT 3890 mod;;;ThyssenKrupp;Германия;ThyssenKrupp, Германия;manual_map
Alleima 253 MA;Аустенитные стали.csv;trademark;Alleima® 253 MA;S30815;1.4835;Alleima;Швеция;Alleima, Швеция;trademark_map
Alleima 2RE10;Аустенитные стали.csv;trademark;Alleima® 2RE10;S31002;1.4333;Alleima;Швеция;Alleima, Швеция;trademark_map
Alleima 2RE69;Аустенитные стали.csv;trademark;Alleima® 2RE69;S31050;1.4541;Alleima;Швеция;Alleima, Швеция;trademark_map
Alleima 353 MA;Аустенитные стали.csv;trademark;Alleima® 353 MA;S35315;1.4835;Alleima;Швеция;Alleima, Швеция;trademark_map
Alleima 3RE60;Дуплексные стали.csv;trademark;Alleima® 3RE60;;;Alleima;Швеция;Alleima, Швеция;trademark_map
Alleima 4C54;Ферритные стали.csv;trademark;Alleima® 4C54;;;Alleima;Швеция;Alleima, Швеция;trademark_map
Alleima 7RE10;Аустенитные стали.csv;trademark;Alleima® 7RE10;;;Alleima;Швеция;Alleima, Швеция;trademark_map
Alloy 800 HT;Спец сплавы.csv;missing_standard;Alloy 800 HT;;;Special Metals Corporation;США;Special Metals Corporation, США;manual_map
Cast MONEL alloy;Спец сплавы.csv;missing_standard;Cast MONEL alloy;;;Special Metals Corporation;США;Special Metals Corporation, США;manual_map
E-BRITE;Ферритные стали.csv;trademark;E-BRITE®;S44726;;ATI;США;ATI, США;trademark_map
Hastalloy B;Спец сплавы.csv;missing_standard;Hastalloy B;N10001;;Haynes International;США;Haynes International, США;trademark_map
Hastalloy C;Спец сплавы.csv;missing_standard;Hastalloy C;N10276*;;Haynes International;США;Haynes International, США;trademark_map
Hastalloy G;Спец сплавы.csv;missing_standard;Hastalloy G;N06007;2.4618;Haynes International;США;Haynes International, США;trademark_map
