grade;standard;manufacturer;country;source;analogues;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
FERMO;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.7140;0,5;1,5;;;;;;0,9;0,4;;;;;;
1.7140;EN, Европа;;Европа;csv:Марки ВЭМ.csv;FERMO;0,5;1,5;;;;;;0,9;0,4;;;;;;
M201 листы;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;2311 ISO-BM|1.2311;0,40;2,0;0,2;;;;;1,5;0,3;;;;;;
2311 ISO-BM;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;M201 листы|1.2311;0,40;2,0;0,2;;;;;1,5;0,3;;;;;;
HOLDAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;M200|2312|1.2312;0,40;1,9;0,2;;;;;1,5;0,4;;;;;;S<0,07
M238;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;IMPAX SUPREME|2738 ISO-BM|1.2738;0,38;2,0;0,2;;;;1,1;1,5;0,3;;;;;;S<0,01
IMPAX SUPREME;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;M238|2738 ISO-BM|1.2738;0,38;2,0;0,2;;;;1,1;1,5;0,3;;;;;;S<0,01
M238 HH;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2738;0,38;2,0;0,2;;;;1,1;1,5;0,3;;;;;;S<0,01
M268 VMR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;1.2738;0,38;2,00;0,20;;;;1,10;1,50;0,30;;;;;;
Buderus Efficient;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,30;1,35;0,60;;;;;1,45;0,10;;;;;;
BMS Extra Hard;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,30;1,50;0,55;;;;0,60;1,50;0,12;;;;;;
Thruhard Supreme HH;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,26;1,25;0,60;;;;;1,45;0,10;;;;;;
Thruhard Supreme HHH;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,26;1,25;0,60;;;;;1,45;0,10;;;;;;
Thruhard Diamond;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,28;1,25;0,70;;;;;1,45;0,10;;;;;;
HIPERDIE;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,35;2,70;1,00;0,20;;;0,60;0,50;0,35;;;;;;
9966 SuperClean;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,33;1,50;0,80;0,30;;;3,00;0,20;0,25;;;;;;
2711 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;1.2711;0,52;0,75;0,30;;;;;0,70;0,20;;;;;;
M261 EXTRA;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;0,13;0,35;;;;;3,50;2,00;0,30;;;;;;S=0,13Al=1,2
NIMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,09;3,00;0,30;;;;1,00;2,50;0,30;;;;;;
RAMAX HH;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,12;13,40;0,50;0,20;;;1,60;1,30;0,20;;;;;;S=0,1+N
M314;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;2085|1.2085;0,34;16,00;0,15;;;;0,65;1,40;0,35;;;;;;S=0,12
2085 Mod;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,28;14,20;1,10;;;;0,50;0,95;0,30;;;;;;+
ROYALLOY;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;M315;0,05;12,80;;;;;0,45;0,90;0,20;;;;;;S=0,1
2316 ISO-B Mod;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,28;14,20;1,10;;;;0,50;0,95;0,30;;;;;;
M303 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;NITRO-B;0,27;14,50;1,00;;;;0,85;0,65;0,30;;;;;;+N
NITRO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;M303 ISOPLAST;0,27;14,50;1,00;;;;0,85;0,65;0,30;;;;;;+N
M303 HH ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;NITRO-B;0,27;14,50;1,00;;;;0,85;0,65;0,30;;;;;;+N
MIRRAX 40 / IDUN;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,21;13,50;0,20;0,25;;;0,60;0,45;0,90;;;;;;+N
CORRAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,03;12,00;1,40;;;;9,20;0,30;0,30;;;;;;Al=1,6
13%Cr SMSS;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;;0,03;13,00;5,30;1,15;;;;0,95;0,40;;;;;;
FORMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,18;;;;;;;1,30;0,30;;;;;;
UHB 11;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;K945|1730|1.1730;0,50;;;;;;;1,70;0,20;;;;;;S<0,07
M130;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;2764 ISO-B|1.2764;0,19;1,30;0,20;;;;4,10;0,30;0,25;;;;;;
2764 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;M130|1.2764;0,19;1,30;0,20;;;;4,10;0,30;0,25;;;;;;
1.2764;EN, Европа;;Европа;csv:Марки ВЭМ.csv;M130|2764 ISO-B;0,19;1,30;0,20;;;;4,10;0,30;0,25;;;;;;
M310 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;STAVAX ESR|2083 ESU|1.2083;0,38;14,30;;0,20;;;;0,50;0,80;;;;;;
STAVAX ESR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;M310 ISOPLAST|2083 ESU|1.2083;0,38;14,30;;0,20;;;;0,50;0,80;;;;;;
2083 ESU;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;M310 ISOPLAST|STAVAX ESR|1.2083;0,38;14,30;;0,20;;;;0,50;0,80;;;;;;
POLMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;1.2083;0,38;13,60;;0,30;;;;0,50;0,90;;;;;;
MIRRAX ESR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,25;13,30;0,35;0,35;;;1,35;0,55;0,35;;;;;;+N
TYRAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,40;12,00;2,30;0,50;;;;0,50;0,20;;;;;;+N
M333 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;0,28;13,50;;;;;;0,30;0,30;;;;;;+N
M340 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;0,54;17,30;1,10;0,10;;;;0,40;0,45;;;;;;+N
M368 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;0,54;17,30;1,10;0,10;;;;0,40;0,45;;;;;;+N
ELMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;1,70;18,00;1,00;3,00;;;;0,30;0,80;;;;;;
M390 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;1,91;20,00;1,00;4,00;0,60;;;0,30;0,70;;;;;;
M398 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv;;2,73;20,00;1,00;7,20;0,70;;;0,30;0,50;;;;;;
VANAX SUPERCLEAN;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;;0,36;18,20;1,10;3,50;;;;0,30;0,30;;;;;;N=1,55
ALVAR 14;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv;W500|2714 ISO-B|1.2714;0,55;1,10;0,50;0,10;;;1,70;0,75;0,30;;;;;;
2714 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;W500|ALVAR 14|1.2714;0,55;1,10;0,50;0,10;;;1,70;0,75;0,30;;;;;;
2714 ISO-B Mod;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv;1.2714;0,52;1,10;0,75;0,10;;;2,00;0,95;0,25;;;;;;
