grade;standard;manufacturer;country;source;c;cr;mo;v;w;co;ni;mn;si;s;p;cu;nb;n;tech
T30111A11;;;США;marki_stalei_check;2,40-2,50;;;9,25-10,25;0;;;;;0,050-0,090;;;;0;
PMA11A11;Carpenter, США;Carpenter;США;marki_stalei_check;2,40-2,50;;;9,25-10,25;0;;;;;0,05-0,09;;;;0;MM
PSF59A11;Carpenter, США;Carpenter;США;marki_stalei_check;2,40-2,50;;;9,25-10,25;0;;;;;0,05-0,09;;;;0;SF
Z-A11 PMA11;Zapp, Германия;Zapp;Германия;marki_stalei_check;2,40-2,50;;;9,25-10,25;0;;;;;0,050-0,090;;;;0;PM
HS6-5-4M4;;;Европа;marki_stalei_check;1,25-1,40;;;3,70-4,20;5,20-6,00;;;;;0,03;0,03;;;0;
T11304M4;;;США;marki_stalei_check;1,25-1,40;;;3,75-4,50;5,25-6,50;;;;;0,03;0,03;;;0;
Carpenter Four StarM4;Carpenter, США;Carpenter;США;marki_stalei_check;1,45;;;4;5,75;;;;;0,13;;;;0;
Micro-Melt M4M4;Carpenter, США;Carpenter;США;marki_stalei_check;1,45;;;4;5,75;;;;;0,13;;;;0;MM
PM M4M4;Diehl, США;Diehl;США;marki_stalei_check;1,25-1,40;;;3,75-4,50;5,25-6,50;;;;;0,03;0,03;;;0;
PMD M4M4;Dorrenberg, Германия;Dorrenberg;Германия;marki_stalei_check;1,35;;;4;5,8;;;;;;;;;0;PM
GPM4M4;Geruk, Германия;Geruk;Германия;marki_stalei_check;1,35;;;4,1;5,9;;;;;0,03;0,03;;;0;PM
LO-QPM M4M4;Lohmann, Германия;Lohmann;Германия;marki_stalei_check;1,4;;;4,1;5,5;;;;;;;;;0;PM
X100CrMoV5A2;;;Германия;marki_stalei_check;0,95-1,05;;;0,15-0,30;0;;;;;0,03;0,03;;;0;
1.2363A2;;;Германия;marki_stalei_check;0,95-1,05;;;0,15-0,30;0;;;;;0,03;0,03;;;0;
X100KUCrMoV51A2;;;Италия;marki_stalei_check;0,95-1,05;;;0,15-0,30;0;;;;;0,03;0,03;;;0;
T30102A2;;;США;marki_stalei_check;0,95-1,05;;;0,20-0,25;0;;;;;0,03;0,03;;;0;
RigorA2;Bohler-Uddeholm, Швеция;Bohler-Uddeholm;Швеция;marki_stalei_check;1;;;0,2;0;;;;;;;;;0;
Carpenter A2A2;Carpenter, США;Carpenter;США;marki_stalei_check;1;;;0,21;0;;;;;;;;;0;
AirkoolA2;Crucible, США;Crucible;США;marki_stalei_check;1;;;0,25;0;;;;;;;;;0;
LSS A2A2;Latrobe, США;Latrobe;США;marki_stalei_check;1;;;0,25;0;;;;;;;;;0;
OA2A2;Metal Ravne, Словения;Metal Ravne;Словения;marki_stalei_check;1;;;0,2;0;;;;;0,25;;;;0;
EPS52A2;Ossenberg, Германия;Ossenberg;Германия;marki_stalei_check;1;;;0,2;0;;;;;;;;;0;
T30103A3;;;США;marki_stalei_check;1,20-1,30;;;0,80-1,40;0;;;;;0,03;0,03;;;0;
T30104A4;;;США;marki_stalei_check;0,95-1,05;;;0;0;;;;;0,03;0,03;;;0;
T30106A6;;;США;marki_stalei_check;0,65-0,75;;;0;0;;;;;;;;;0;
VegaA6;Carpenter, США;Carpenter;США;marki_stalei_check;0,7;;;0;0;;;;;;;;;0;
CSM6A6;Crucible, США;Crucible;США;marki_stalei_check;0,7;;;0;0;;;;;;;;;0;
T30107A7;;;США;marki_stalei_check;2,00-2,85;;;3,90-5,15;0,50-1,50;;;;;0,03;0,03;;;0;
T30108A8;;;США;marki_stalei_check;0,50-0,60;;;0;1,00-1,50;;;;;0,03;0,03;;;0;
LSS MGRA8;Latrobe, США;Latrobe;США;marki_stalei_check;0,55;;;0;1,25;;;;;;;;;0;
T30109A9;;;США;marki_stalei_check;0,45-0,55;;;0,80-1,40;0;;;;;0,03;0,03;;;0;
LSS A9A9;Latrobe, США;Latrobe;США;marki_stalei_check;0,5;;;1;0;;;;;;;;;0;
T11301M1;;;США;marki_stalei_check;0,78-0,88;;;1,00-1,35;1,40-2,10;;;;;0,03;0,03;;;0;
S6-5-2M2;;;Германия;marki_stalei_check;0,80-0,88;;;1,70-2,10;5,90-6,70;;;;;;;;;0;
HS6-5-2CM2;;;Германия;marki_stalei_check;0,86-0,94;;;1,70-2,10;5,90-6,70;;;;;;;;;0;
1.3339M2;;;Германия;marki_stalei_check;0,80-0,88;;;1,70-2,10;5,90-6,70;;;;;;;;;0;
HS6-5-2M2;;;Европа;marki_stalei_check;0,80-0,88;;;1,70-2,10;5,90-6,70;;;;;;;;;0;
HS652CM2;;;Европа;marki_stalei_check;0,86-0,94;;;1,70-2,10;5,90-6,70;;;;;;;;;0;
T11302M2;;;США;marki_stalei_check;0,78-1,05;;;1,75-2,20;5,50-6,75;;;;;0,03;0,03;;;0;
DMO5M2;Dorrenberg, Германия;Dorrenberg;Германия;marki_stalei_check;0,9;;;1,9;6,4;;;;;;;;;0;
T11313M3:1;;;США;marki_stalei_check;1,00-1,10;;;2,25-2,75;5,00-6,75;;;;;0,03;0,03;;;0;
T11323M3:2;;;США;marki_stalei_check;1,15-1,25;;;2,75-3,75;5,00-6,75;;;;;0,03;0,03;;;0;
GPM23M3:2;Geruk, Германия;Geruk;Германия;marki_stalei_check;1,35;;;3,9;6;;;;;0,03;0,03;;;0;PM
YXM27M3:2;Hitachi, Япония;Hitachi;Япония;marki_stalei_check;1,2;;;2,7;5,3;;;;;;;;;0;
LO-QPM 23M3:2;Lohmann, Германия;Lohmann;Германия;marki_stalei_check;1,5;;;3;6,2;;;;;;;;;0;PM
S2-1-1-8M42;;;Германия;marki_stalei_check;1,00-1,15;;;0,90-1,30;1,20-1,90;;;;;0,03;0,03;;;0;
T11342M42;;;США;marki_stalei_check;1,05-1,10;;;0,95-1,35;1,15-1,85;;;;;0,03;0,03;;;0;
S500M42;Bohler-Uddeholm, Швеция;Bohler-Uddeholm;Швеция;marki_stalei_check;1,1;;;1;1,4;;;;;;;;;0;
Micro-Melt M42M42;Carpenter, США;Carpenter;США;marki_stalei_check;1,1;;;1,15;1,5;;;;;0,06;;;;0;MM
