grade;standard;manufacturer;country;source
FERMO;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
1.7140;EN, Европа;;Европа;csv:Марки ВЭМ.csv
M201 листы;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
2311 ISO-BM;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
HOLDAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
M238;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
IMPAX SUPREME;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
M238 HH;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
M268 VMR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
Buderus Efficient;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
BMS Extra Hard;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
Thruhard Supreme HH;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
Thruhard Supreme HHH;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
Thruhard Diamond;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
HIPERDIE;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
9966 SuperClean;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
2711 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
M261 EXTRA;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
NIMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
RAMAX HH;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
M314;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
2085 Mod;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
ROYALLOY;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2316 ISO-B Mod;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
M303 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
NITRO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
M303 HH ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
MIRRAX 40 / IDUN;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
CORRAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
13%Cr SMSS;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
FORMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
UHB 11;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
M130;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
2764 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
1.2764;EN, Европа;;Европа;csv:Марки ВЭМ.csv
M310 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
STAVAX ESR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2083 ESU;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
POLMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
MIRRAX ESR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
TYRAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
M333 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
M340 ISOPLAST;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
M368 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
ELMAX;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
M390 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
M398 Microclean;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
VANAX SUPERCLEAN;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
ALVAR 14;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2714 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
2714 ISO-B Mod;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
W321 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
BALDER;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
W320 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
2365 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
W720;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
1.6354;EN, Европа;;Европа;csv:Марки ВЭМ.csv
W300 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
VIDAR 1;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2343 ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
W300 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
VIDAR 1 ESR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2343 ISO-B ESR;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
VIDAR SUPERIOR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
W400 VMR;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
Conqueror SuperClean;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
BURE (Orvar 2M);Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
ORVAR 2M;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
2344-ISO-B;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
W302 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
ORVAR SUPREME;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
ORVAR SUPERIOR;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
W350 ISOBLOC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
QRO 90 SUPREME/ QRO 90 HT;Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
HWS Supreme;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
W303 ISODISC;Bohler, Австрия;Bohler;Австрия;csv:Марки ВЭМ.csv
ExStahl SuperClean;Buderus, Германия;Buderus;Германия;csv:Марки ВЭМ.csv
1.2367;EN, Европа;;Европа;csv:Марки ВЭМ.csv
FORMVAR (DIEVAR);Uddeholm, Швеция;Uddeholm;Швеция;csv:Марки ВЭМ.csv
