grade;link;db_standard;expected_standard;standard_expected_source;cc;country_cc;country_card;maker_card;maker_table;status
A11;https://zknives.com/knives/steels/a11.shtml;zknives.com, Международная база;Zapp, Германия;table_maker;DE;Германия;США;;Zapp;placeholder
R0M2SF10;https://zknives.com/knives/steels/r0m2sf10.shtml;zknives.com, Международная база;Zapp, Германия;table_maker;DE;Германия;Россия;;Zapp;placeholder
R0M2SF10-MP;https://zknives.com/knives/steels/r0m2sf10-mp.shtml;zknives.com, Международная база;Zapp, Германия;table_maker;DE;Германия;Россия;;Zapp;placeholder
T30111;https://zknives.com/knives/steels/t30111.shtml;UNS, США;Zapp, Германия;table_maker;DE;Германия;США;;Zapp;mismatch
K294;https://zknives.com/knives/steels/k294.shtml;zknives.com, Международная база;Bohler-Uddeholm, Германия;card_maker;DE;Германия;Швеция;Bohler-Uddeholm;Zapp;placeholder
Micro-Melt A11;https://zknives.com/knives/steels/micro-melt_a11.shtml;zknives.com, Международная база;Carpenter, Германия;card_maker;DE;Германия;США;Carpenter;Zapp;placeholder
PMA11;https://zknives.com/knives/steels/pma11.shtml;zknives.com, Международная база;Carpenter, Германия;card_maker;DE;Германия;США;Carpenter;Zapp;placeholder
PSF59;https://zknives.com/knives/steels/psf59.shtml;zknives.com, Международная база;Carpenter, Германия;card_maker;DE;Германия;США;Carpenter;Zapp;placeholder
CPM 10V;https://zknives.com/knives/steels/cpm_10v.shtml;zknives.com, Международная база;Crucible, Германия;card_maker;DE;Германия;США;Crucible;Zapp;placeholder
PM A11;https://zknives.com/knives/steels/pm_a11.shtml;zknives.com, Международная база;Diehl, Германия;card_maker;DE;Германия;США;Diehl;Zapp;placeholder
PMD10;https://zknives.com/knives/steels/pmd10.shtml;zknives.com, Международная база;Dorrenberg, Германия;card_maker;DE;Германия;Германия;Dorrenberg;Zapp;placeholder
ASP2011;https://zknives.com/knives/steels/asp2011.shtml;zknives.com, Международная база;Zapp, Германия;table_maker;DE;Германия;Франция;;Zapp;placeholder
GPM10;https://zknives.com/knives/steels/gpm10.shtml;zknives.com, Международная база;Geruk, Германия;card_maker;DE;Германия;Германия;Geruk;Zapp;placeholder
DuraTech A11;https://zknives.com/knives/steels/duratech_a11.shtml;zknives.com, Международная база;Latrobe, Германия;card_maker;DE;Германия;США;Latrobe;Zapp;placeholder
LO-QPM A11;https://zknives.com/knives/steels/lo-qpm_a11.shtml;zknives.com, Международная база;Lohmann, Германия;card_maker;DE;Германия;Германия;Lohmann;Zapp;placeholder
A11 Mod;https://zknives.com/knives/steels/a11_mod.shtml;zknives.com, Международная база;PSM Industries, Германия;card_maker;DE;Германия;Германия;PSM Industries;Zapp;placeholder
PM10;https://zknives.com/knives/steels/pm10.shtml;zknives.com, Международная база;Scana, Германия;card_maker;DE;Германия;Норвегия;Scana;Zapp;placeholder
