grade,splav_c,db_c,match_c,splav_cr,db_cr,match_cr,splav_mo,db_mo,match_mo,splav_v,db_v,match_v,splav_w,db_w,match_w,splav_co,db_co,match_co,splav_ni,db_ni,match_ni,splav_mn,db_mn,match_mn,splav_si,db_si,match_si,splav_s,db_s,match_s,splav_p,db_p,match_p,splav_cu,db_cu,match_cu,splav_nb,db_nb,match_nb,splav_n,db_n,match_n,status,mismatch_fields
АНВ-300,до &nbsp; 0.1,до &nbsp; 0.1,1,14 - 17,14 - 17,1,,,1,,,1,7 - 10,7 - 10,1,,,1,64.2 - 70.1,64.2 - 70.1,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
В3К,1 - 1.3,1 - 1.3,1,28 - 32,28 - 32,1,,,1,,,1,4 - 5,4 - 5,1,54.8 - 65,54.8 - 65,1,до &nbsp; 2,до &nbsp; 2,1,,,1,2 - 2.75,2 - 2.75,1,до &nbsp; 0.07,до &nbsp; 0.07,1,,,1,,,1,,,1,,,1,ok,
ВЖЛ1,0.1 - 0.17,0.1 - 0.17,1,15 - 17,15 - 17,1,3.5 - 5,3.5 - 5,1,,,1,2 - 2.5,2 - 2.5,1,,,1,59.5 - 66.1,59.5 - 66.1,1,до &nbsp; 0.3,до &nbsp; 0.3,1,1.2 - 2,1.2 - 2,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ВЖЛ12У,0.14 - 0.2,0.14 - 0.2,1,8.5 - 10.5,8.5 - 10.5,1,2.7 - 3.4,2.7 - 3.4,1,0.5 - 1,0.5 - 1,1,1 - 1.8,1 - 1.8,1,12 - 15,12 - 15,1,53.8 - 63.46,53.8 - 63.46,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.5 - 1,0.5 - 1,1,,,1,ok,
ВЖЛ12Э,0.12 - 0.2,0.12 - 0.2,1,8.5 - 10,8.5 - 10,1,2.7 - 3.4,2.7 - 3.4,1,0.5 - 1,0.5 - 1,1,1 - 1.8,1 - 1.8,1,8 - 10,8 - 10,1,59.3 - 68,59.3 - 68,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.5 - 1,0.5 - 1,1,,,1,ok,
ВЖЛ14,0.05 - 0.08,0.05 - 0.08,1,18 - 20,18 - 20,1,4.5 - 5.5,4.5 - 5.5,1,,,1,,,1,,,1,59.1 - 63.7,59.1 - 63.7,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,,,1,ok,
ВЖЛ14Н,0.03 - 0.08,0.03 - 0.08,1,18 - 20,18 - 20,1,4 - 5,4 - 5,1,,,1,,,1,,,1,56.8 - 62.5,56.8 - 62.5,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1.8 - 2.8,1.8 - 2.8,1,,,1,ok,
ВЖЛ18,0.1 - 0.15,0.1 - 0.15,1,17 - 18,17 - 18,1,4.5 - 6,4.5 - 6,1,,,1,2.5 - 4,2.5 - 4,1,4 - 6,4 - 6,1,55.1 - 64.1,55.1 - 64.1,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1.2 - 1.8,1.2 - 1.8,1,,,1,ok,
ВЖЛ2,0.11 - 0.17,0.11 - 0.17,1,12 - 15,12 - 15,1,12 - 15,12 - 15,1,,,1,8 - 10,8 - 10,1,,,1,48 - 58.2,48 - 58.2,1,,,1,1 - 2,1 - 2,1,до &nbsp; 0.02,до &nbsp; 0.02,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ВЖЛ8,0.1 - 0.2,0.1 - 0.2,1,14 - 17,14 - 17,1,4.5 - 6,4.5 - 6,1,,,1,,,1,,,1,57.4 - 66.1,57.4 - 66.1,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.02,до &nbsp; 0.02,1,,,1,,,1,,,1,ok,
ВХ4Л,0.03 - 0.1,0.03 - 0.1,1,32 - 35,32 - 35,1,2.3 - 3.5,2.3 - 3.5,1,,,1,4.3 - 5.5,4.3 - 5.5,1,,,1,51.1 - 56.3,51.1 - 56.3,1,,,1,до &nbsp; 0.3,до &nbsp; 0.3,1,до &nbsp; 0.01,до &nbsp; 0.01,1,,,1,,,1,0.7 - 1.3,0.7 - 1.3,1,,,1,ok,
ВХ9Л,0.02 - 0.1,0.02 - 0.1,1,30 - 35,30 - 35,1,2.9 - 3.5,2.9 - 3.5,1,,,1,4.7 - 5.3,4.7 - 5.3,1,0.2 - 0.8,0.2 - 0.8,1,44.1 - 54.8,44.1 - 54.8,1,до &nbsp; 0.5,до &nbsp; 0.5,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.7 - 1.3,0.7 - 1.3,1,,,1,ok,
ЖС16,0.08 - 0.14,0.08 - 0.14,1,4.6 - 5.2,4.6 - 5.2,1,,,1,,,1,15.3 - 16.5,15.3 - 16.5,1,6 - 8,6 - 8,1,58.9 - 65.5,58.9 - 65.5,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.2,до &nbsp; 0.2,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,1.6 - 2.1,1.6 - 2.1,1,,,1,ok,
ЖС3,0.11 - 0.16,0.11 - 0.16,1,14 - 18,14 - 18,1,3 - 4.5,3 - 4.5,1,до &nbsp; 0.3,до &nbsp; 0.3,1,4.5 - 6.5,4.5 - 6.5,1,,,1,56.8 - 71.1,56.8 - 71.1,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.009,до &nbsp; 0.009,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС30,0.11 - 0.2,0.11 - 0.2,1,5 - 9,5 - 9,1,0.4 - 1,0.4 - 1,1,,,1,11 - 12.6,11 - 12.6,1,7.5 - 9.5,7.5 - 9.5,1,56.2 - 65.4,56.2 - 65.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.4 - 1.4,0.4 - 1.4,1,,,1,ok,
ЖС3ДК,0.06 - 0.11,0.06 - 0.11,1,11 - 12.5,11 - 12.5,1,3.8 - 4.5,3.8 - 4.5,1,,,1,3.8 - 4.5,3.8 - 4.5,1,8 - 10,8 - 10,1,57.5 - 65.3,57.5 - 65.3,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС3ЛС,0.05 - 0.12,0.05 - 0.12,1,15 - 18,15 - 18,1,3 - 4.5,3 - 4.5,1,,,1,3 - 4.5,3 - 4.5,1,4 - 5,4 - 5,1,58.6 - 67.1,58.6 - 67.1,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.6,до &nbsp; 0.6,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС6К,0.13 - 0.2,0.13 - 0.2,1,9.5 - 12,9.5 - 12,1,3.5 - 4.5,3.5 - 4.5,1,,,1,4.5 - 5.5,4.5 - 5.5,1,4 - 5.5,4 - 5.5,1,60.1 - 68.4,60.1 - 68.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.015,до &nbsp; 0.015,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
ЖС6У,0.13 - 0.2,0.13 - 0.2,1,8 - 9.5,8 - 9.5,1,1.2 - 2.4,1.2 - 2.4,1,,,1,9.5 - 11,9.5 - 11,1,9 - 10.5,9 - 10.5,1,54.3 - 62.7,54.3 - 62.7,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,0.8 - 1.2,0.8 - 1.2,1,,,1,ok,
Л114,0.15 - 0.3,0.15 - 0.3,1,10 - 12,10 - 12,1,3 - 4,3 - 4,1,,,1,3 - 4,3 - 4,1,10 - 12,10 - 12,1,55.5 - 64.2,55.5 - 64.2,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.4,до &nbsp; 0.4,1,до &nbsp; 0.01,до &nbsp; 0.01,1,до &nbsp; 0.015,до &nbsp; 0.015,1,,,1,,,1,,,1,ok,
