grade,updated_fields
ХН32Т,analogues
ХН35ВТ,analogues
ХН38ВТ,analogues
ХН70Ю,analogues
ХН78Т,analogues
ХН80ТБЮ,analogues
12МХ,analogues
12Х1МФ,analogues
12ХМ,analogues
15Х1М1Ф,analogues
15Х5М,analogues
15Х6СЮ,analogues
15ХМ,analogues
08Х16Н11М3,analogues
08Х16Н13М2Б,analogues
08Х20Н14С2,analogues
08Х21Н6М2Т,analogues
09Х16Н15М3Б,analogues
10Х13СЮ,analogues
10Х23Н18,analogues
15Х11МФ,analogues
15Х12ВНМФ,analogues
15Х18СЮ,analogues
18Х11МНФБ,analogues
20Х12ВНМФ,analogues
20Х20Н14С2,analogues
20Х23Н13,analogues
20Х23Н18,analogues
20Х25Н20С2,analogues
30Х13Н7С2,analogues
31Х19Н9МВБТ,analogues
36Х18Н25С2,analogues
37Х12Н8Г8МФБ,analogues
40Х10С2М,analogues
40Х9С2,analogues
45Х14Н14В2М,analogues
55Х20Г9АН4,analogues
25Х1М1Ф,analogues
25Х1МФ,analogues
25Х2М1Ф,analogues
30ХМ,analogues
30ХМА,analogues
35ХМ,analogues
38Х2МЮА,analogues
ЛЦ16К4,analogues
ЛЦ23А6Ж3Мц2,analogues
ЛЦ25С2,analogues
ЛЦ40С,analogues
Л60,analogues
Л63,analogues
Л68,analogues
Л70,analogues
Л80,analogues
Л85,analogues
Л90,analogues
Л96,analogues
ЛАЖ60-1-1,analogues
ЛАМш77-2-0.05,analogues
ЛМц58-2,analogues
ЛО60-1,analogues
ЛО62-1,analogues
ЛО90-1,analogues
ЛОМш70-1-0.05,analogues
ЛС58-3,analogues
ЛС59-1,analogues
ЛС59-1В,analogues
ЛС59-2,analogues
ЛС60-1,analogues
ЛС63-3,analogues
ЛС64-2,analogues
А0,analogues
А35(ГОСТ11069-2001),analogues
А5,analogues
А5Е,analogues
А6,analogues
А7,analogues
А7Е,analogues
А7Э,analogues
А8,analogues
А85,analogues
А98,analogues
А99,analogues
АД,analogues
АД0,analogues
АД00,analogues
АД000,analogues
АД00Е,analogues
АД0Е,analogues
АД1,analogues
АДоч,analogues
АДС,analogues
АДч,analogues
АК12,analogues
АК12М2МгН,analogues
АК12ММгН,analogues
АК5М,analogues
АК5М2,analogues
АК5М4,analogues
АК5М7,analogues
АК5Мч,analogues
АК7,analogues
АК7М2,analogues
АК7пч,analogues
АК7Ц9,analogues
АК7ч,analogues
АК8л,analogues
АК8М,analogues
АК9,analogues
АК9пч,analogues
АК9ч,analogues
АЛ1,analogues
АЛ3,analogues
АЛ4М,analogues
АЛ6,analogues
АЛ7,analogues
АЛ8,analogues
АМ4.5Кд,analogues
АМ5,analogues
АМг10,analogues
АМг5К,analogues
АМг5Мц,analogues
АМг6Л,analogues
АМг6лч,analogues
АМг7,analogues
АЦ4Мг,analogues
1201,analogues
1915,analogues
1925,analogues
АВ,analogues
АД31,analogues
АД31Е,analogues
АД33,analogues
АД35,analogues
АК4,analogues
АК4-1,analogues
АК4-1ч,analogues
АК6,analogues
АК8,analogues
АМг1,analogues
АМг1.5,analogues
АМг2,analogues
АМг2.5,analogues
АМг3,analogues
АМг3.5,analogues
АМг3С,analogues
АМг4,analogues
АМг4.5,analogues
АМг5,analogues
АМц,analogues
АМцС,analogues
В95,analogues
В96ц,analogues
Д1,analogues
Д12,analogues
Д16,analogues
Д16П,analogues
Д16ч,analogues
Д18,analogues
ММ,analogues
М00б,analogues
М0б,analogues
М1,analogues
М1р,analogues
М2,analogues
М3,analogues
МН25,analogues
МНА13-3,analogues
МНЖ5-1,analogues
МНЖМц10-1-1,analogues
МНЖМц30-1-1,analogues
МНМц43-0.5,analogues
МНЦ12-24,analogues
МНЦ15-20,analogues
МНЦ18-20,analogues
МНЦ18-27,analogues
НМЖМц28-2.5-1.5,analogues
10880,analogues
НП2,analogues
НП3,analogues
НП4,analogues
НМц2,analogues
НМц5,analogues
НМцАК2-2-1,analogues
Мг90,analogues
Мг95,analogues
МЛ12,analogues
МЛ4,analogues
МЛ5,analogues
МЛ5он,analogues
МЛ5пч,analogues
МЛ6,analogues
МЛ8,analogues
МА1,analogues
МА14,analogues
МА2,analogues
МА5,analogues
ВТ1-0,analogues
ВТ1-00,analogues
ВТ14,analogues
ВТ5-1,analogues
ВТ6,analogues
ВТ6С,analogues
ОТ4-1,analogues
36Н,analogues
Х20Н80-Н,analogues
ХН20ЮС,analogues
ВК11-В,analogues
ВК11-ВК,analogues
ВК15,analogues
ВК3,analogues
ВК3-М,analogues
ВК6,analogues
ВК6-В,analogues
ВК6-М,analogues
ВК6-ОМ,analogues
ВК8,analogues
ВК8-ВК,analogues
Т14К8,analogues
Т15К6,analogues
Т30К4,analogues
Т5К10,analogues
ТТ10К8Б,analogues
ТТ20К9,analogues
ТТ7К12,analogues
ТТ8К6,analogues
05кп,analogues
08,analogues
08кп,analogues
08пс,analogues
08Ю,analogues
10,analogues
10кп,analogues
10пс,analogues
12К,analogues
15,analogues
15К,analogues
15кп,analogues
15пс,analogues
16К,analogues
18К,analogues
18кп,analogues
20,analogues
20К,analogues
20кп,analogues
20пс,analogues
22К,analogues
25,analogues
30,analogues
35,analogues
40,analogues
45,analogues
50,analogues
55,analogues
60,analogues
ВСт2кп,analogues
ВСт2пс,analogues
ВСт3пс,analogues
ВСт3сп,analogues
ВСт4кп,analogues
ВСт4пс,analogues
ВСт5пс,analogues
ВСт5сп,analogues
ВСт6сп,analogues
Ст0,analogues
Ст1кп,analogues
Ст1пс,analogues
Ст1сп,analogues
Ст2кп,analogues
Ст2пс,analogues
Ст2сп,analogues
Ст3Гпс,analogues
Ст3Гсп,analogues
Ст3кп,analogues
Ст3пс,analogues
Ст3сп,analogues
Ст4кп,analogues
Ст4пс,analogues
Ст4сп,analogues
Ст5Гпс,analogues
Ст5пс,analogues
Ст5сп,analogues
Ст6пс,analogues
Ст6сп,analogues
10Г2,analogues
10Х2М,analogues
12Х2Н4А,analogues
12ХН2,analogues
12ХН2А,analogues
12ХН3А,analogues
14Х2Н3МА,analogues
15Г,analogues
15Н2М,analogues
15Х,analogues
15ХА,analogues
15ХФ,analogues
18Х2Н4ВА,analogues
18Х2Н4МА,analogues
18ХГ,analogues
18ХГТ,analogues
20Г,analogues
20Г2,analogues
20Н2М,analogues
20Х,analogues
20Х2Н4А,analogues
20ХГНМ,analogues
20ХГСА,analogues
20ХМ,analogues
20ХН,analogues
20ХН2М,analogues
20ХН3А,analogues
20ХН4ФА,analogues
20ХФ,analogues
25Г,analogues
25Х2Н4МА,analogues
25ХГМ,analogues
25ХГСА,analogues
27ХГР,analogues
30Г,analogues
30Г2,analogues
30Х,analogues
30Х3МФ,analogues
30ХГС,analogues
30ХГСА,analogues
30ХГСН2А,analogues
30ХГТ,analogues
30ХН2МА,analogues
30ХН2МФА,analogues
30ХН3А,analogues
34ХН1М,analogues
34ХН1МА,analogues
34ХН3МА,analogues
35Г,analogues
35Г2,analogues
35Х,analogues
35ХГСА,analogues
36Х2Н2МФА,analogues
38Х2Н2МА,analogues
38Х2Ю,analogues
38ХА,analogues
38ХГНМ,analogues
