grade,analogues,base,c,cr,mo,v,w,co,ni,mn,si,s,p,cu,nb,n,other,tech,standard,manufacturer,link
АНВ-300,,Fe,0-0.1,14-17,,,7-10,,64.2-70.1,0-0.5,0-0.5,0-0.01,0-0.015,,,,Ti 1.4-2; Al 4.5-5.5; B 0-0.1; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3284
В3К,,Fe,1-1.3,28-32,,,4-5,54.8-65,0-2,,2-2.75,0-0.07,,,,,Fe 0-2; Co - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3282
ВЖЛ1,,Fe,0.1-0.17,15-17,3.5-5,,2-2.5,,59.5-66.1,0-0.3,1.2-2,0-0.02,0-0.02,,,,Fe 6-7.5; Ti 2-3; Al 2-2.8; B 0.09-0.13; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3279
ВЖЛ12У,,Fe,0.14-0.2,8.5-10.5,2.7-3.4,0.5-1,1-1.8,12-15,53.8-63.46,0-0.4,0-0.4,0-0.015,0-0.015,,0.5-1,,Fe 0-2; CE 0-0.02; Ti 4.2-4.7; Al 5-5.7; Zr 0-0.02; B 0-0.015; Pb 0-0.001; BI 0-0.0005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3272
ВЖЛ12Э,,Fe,0.12-0.2,8.5-10,2.7-3.4,0.5-1,1-1.8,8-10,59.3-68,0-0.4,0-0.4,0-0.015,0-0.015,,0.5-1,,Fe 0-2; CE 0-0.015; Ti 4.2-4.7; Al 5-5.7; Zr 0-0.02; B 0-0.015; Pb 0-0.001; BI 0-0.0005; LA 0-0.01; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3273
ВЖЛ14,,Fe,0.05-0.08,18-20,4.5-5.5,,,,59.1-63.7,0-0.4,0-0.4,0-0.01,0-0.01,,,,Fe 8-10; CE 0-0.02; Ti 2.6-2.9; Al 1.2-1.5; B 0-0.005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3287
ВЖЛ14Н,,Fe,0.03-0.08,18-20,4-5,,,,56.8-62.5,0-0.4,0-0.4,0-0.015,0-0.015,,1.8-2.8,,Fe 8-10; CE 0-0.025; Ti 2.5-2.9; Al 1.2-1.5; B 0-0.005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3274
ВЖЛ18,,Fe,0.1-0.15,17-18,4.5-6,,2.5-4,4-6,55.1-64.1,0-0.4,0-0.4,0-0.015,0-0.015,,1.2-1.8,,Fe 0-1; CE 0-0.02; Ti 2.2-3; Al 3.4-4; Zr 0-0.02; B 0-0.06; Pb 0-0.001; BI 0-0.0005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3275
ВЖЛ2,,Fe,0.11-0.17,12-15,12-15,,8-10,,48-58.2,,1-2,0-0.02,0-0.02,,,,Fe 2-3.5; Ti 2-3.2; Al 1.5-3; B 0-0.065; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3271
ВЖЛ8,,Fe,0.1-0.2,14-17,4.5-6,,,,57.4-66.1,0-0.6,0-0.6,0-0.015,0-0.02,,,,Fe 8-12; CE 0-0.01; Ti 1.8-2.5; Al 2.5-3.5; B 0-0.06; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3286
ВХ4Л,,Fe,0.03-0.1,32-35,2.3-3.5,,4.3-5.5,,51.1-56.3,,0-0.3,0-0.01,,,0.7-1.3,,Fe 0-0.5; CE 0-0.03; Ti 0.7-1.3; Al 0.7-1.3; B 0-0.008; Ca 0-0.02; Y 0-0.04; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3276
ВХ9Л,,Fe,0.02-0.1,30-35,2.9-3.5,,4.7-5.3,0.2-0.8,44.1-54.8,0-0.5,0-0.4,0-0.01,0-0.015,,0.7-1.3,,Fe 0-6; Ti 0.7-1.3; Al 1-1.6; B 0-0.005; Ca 0-0.02; Y 0-0.04; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3277
ЖС16,,Fe,0.08-0.14,4.6-5.2,,,15.3-16.5,6-8,58.9-65.5,0-0.4,0-0.2,0-0.015,0-0.015,,1.6-2.1,,Fe 0-1; CE 0-0.02; Ti 0.7-1.2; Al 5.6-6.2; Zr 0-0.02; B 0-0.02; Pb 0-0.001; BI 0-0.0005; LA 0-0.02; HF 0.7-1.2; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3268
ЖС3,,Fe,0.11-0.16,14-18,3-4.5,0-0.3,4.5-6.5,,56.8-71.1,0-0.6,0-0.6,0-0.009,0-0.015,,,,Fe 0-8; Ti 1.6-2.3; Al 1.6-2.2; B 0.005-0.01; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3266
ЖС30,,Fe,0.11-0.2,5-9,0.4-1,,11-12.6,7.5-9.5,56.2-65.4,0-0.4,0-0.4,0-0.01,0-0.015,,0.4-1.4,,Fe 0-1; CE 0-0.015; Ti 1.4-2.3; Al 4.8-5.8; Zr 0-0.02; B 0-0.02; Ca 0-0.005; LA 0-0.005; Y 0-0.03; HF 0.3-1.2; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3270
ЖС3ДК,,Fe,0.06-0.11,11-12.5,3.8-4.5,,3.8-4.5,8-10,57.5-65.3,0-0.4,0-0.4,0-0.01,0-0.015,,,,Fe 0-2; CE 0-0.02; Ti 2.5-3.2; Al 4-4.8; B 0-0.02; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3267
ЖС3ЛС,,Fe,0.05-0.12,15-18,3-4.5,,3-4.5,4-5,58.6-67.1,0-0.6,0-0.6,0-0.015,0-0.015,,,,Fe 0-2; CE 0-0.015; Ti 2.4-3; Al 2.4-3; Zr 0-0.015; B 0-0.015; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3280
ЖС6К,,Fe,0.13-0.2,9.5-12,3.5-4.5,,4.5-5.5,4-5.5,60.1-68.4,0-0.4,0-0.4,0-0.015,0-0.015,,,,Fe 0-2; CE 0-0.025; Ti 2.5-3.2; Al 5-6; Zr 0-0.04; B 0-0.02; Pb 0-0.001; BI 0-0.0005; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3278
ЖС6У,,Fe,0.13-0.2,8-9.5,1.2-2.4,,9.5-11,9-10.5,54.3-62.7,0-0.4,0-0.4,0-0.01,0-0.015,,0.8-1.2,,Fe 0-1; CE 0-0.02; Ti 2-2.9; Al 5.1-6; Zr 0-0.04; B 0-0.035; Pb 0-0.001; BI 0-0.0005; Y 0-0.01; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3269
Л114,,Fe,0.15-0.3,10-12,3-4,,3-4,10-12,55.5-64.2,0-0.4,0-0.4,0-0.01,0-0.015,,,,Fe 0-1.5; CE 0-0.01; Ti 2.2-3; Al 5.5-6.8; B 0-0.04; Ni - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3285
ЛК4,,Fe,0.15-0.25,25-28,4.5-5.5,,0-0.5,58,3-3.75,0-0.6,0-0.5,0-0.025,0-0.025,,,,Fe 0-1.5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3283
10Х15Н35В3ТЮ,,Fe,0-0.1,14-16,,,3-4,,34-38,1-2,0-0.5,0-0.03,0-0.03,,,,Fe 36.83-45.6; Ti 0.7-1; Al 1.7-1.5; B 0-0.01,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=999
ВХН1,,Fe,1-1.25,35-40,,,,,50-60,0-0.5,2-2.75,0-0.07,0-0.03,,,,Fe 0-5,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3295
ХН28ВМАБ,,Fe,0-0.1,19-22,2.8-3.5,,4.8-6,,25-30,0-1.5,0-0.6,0-0.02,0-0.02,,0.7-1.3,0.15-0.3,Fe 34.655-47.55; B 0-0.005,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=755
ХН32Т,N08825 UNSNo8800 UNSNo8810 X10NiCrAlTi32-20 X2NiCrAiTi32-20 X5NiCrAlTi31-20 X8NiCrAlTi32-21 NCF2HTF NCF800 NCF800TB Z10NC32-21 Z8NC33-21 NA15 NA15H X10NiCrAlTi32-21 X3CrMnNiN18-8-7 10TiAlCrNi320,Fe,0-0.05,19-22,,,,,30-34,0-0.7,0-0.7,0-0.02,0-0.03,,,,Fe 41.4-50.75; Ti 0.25-0.6; Al 0-0.5,,"ГОСТ 5632-72, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=67
ХН33БС,,Fe,0.3-0.4,20-23,0-0.25,0.0005-0.15,0.05-0.2,0-0.1,30-33,0.8-1.45,0.45-0.95,0-0.02,0-0.025,0-0.2,1-1.7,,CE 0.07-0.11; Ti 0.0005-0.15; Al 0.0005-0.1; As 0-0.01; Pb 0-0.01; Zn 0-0.01; Sn 0-0.01; Fe - basis,,"ГОСТ, Россия",,http://www.splav-kharkov.com/mat_start.php?name_id=3116
