value,count
GOST/TU-Extended,426
Crucible,60
AISI (Austenitic),38
Bohler,27
Erasteel,26
Carpenter,16
BS EN 10302-2008,14
SIHard,13
GB/T 1299-1985,11
GMH Proprietary,11
GOST,8
BS-EN-ISO-4957:2000,7
DIN/EN,7
SIRapid,7
TG Proprietary,7
INCONEL,6
Aogami,5
CTS,5
Heye Proprietary,5
LO-K,5
LSS,5
Ravne,5
Weld Mold,5
ASTM/EN,4
Assab,4
CPM,4
DIN,4
GOST 1050-88,4
Hitachi Proprietary,4
INCOLOY,4
LO-S,4
Rovalma Proprietary,4
DIN 1.2067,3
DIN 1.4034,3
DIN 1.7218,3
DIN 1.7225,3
GOST У10А,3
H&R,3
Hastalloy,3
MONEL,3
Nimonic,3
Uddeholm,3
20C Shock Absorber,2
A11 LVC,2
A11 Mod,2
Aldo W2,2
Amtek D2,2
Aogami 2,2
Atlas,2
BS,2
CROMOVA 18,2
Cronidur 30,2
Cyclops,2
DIN 1.2080,2
DIN 1.2379,2
DIN 1.6582,2
DIN 1.7220,2
Double Six,2
DuraTech,2
DuraTech 20CV,2
DuraTech 30,2
DuraTech 420PM,2
DuraTech M4,2
DuraTech Mega4,2
DuraTech Nine,2
Ergste,2
Hampden Tool Steel,2
ISO -,2
L6 Bainite,2
LO-QPM A11,2
LO-QPM M4,2
LSS L6,2
LSS MGR,2
LSS O1,2
LSS Vertex,2
Labelle Silicon 2,2
Lukens,2
M390 MicroClean,2
Maximum Special,2
Micro-Melt,2
Micro-Melt 23,2
Micro-Melt 420-CW,2
Micro-Melt A11,2
Micro-Melt M4,2
Micro-Melt M42,2
Micro-Melt M48,2
Micro-Melt M62,2
Micro-Melt PD1,2
N690 ISOEXTRA,2
No. 484,2
PM A11,2
PM M4,2
PMC 27,2
PMD M4,2
Rapidur,2
S693 MICROCLEAN,2
S7 XL,2
SB Wear,2
Shirogami,2
Shirogami 1,2
Shirogami 1B,2
Shirogami 2,2
Shirogami 2A,2
Shirogami 2B,2
Stellapur PM7,2
Super Star,2
T.E.M.,2
TG,2
Takefu,2
Tatmo VN,2
Thyssen,2
Uginox MA4,2
Vasco Die,2
Z-A11 PM,2
#50,1
#55,1
#60,1
#70,1
#75,1
#80,1
#85,1
0170-6,1
0170-6C,1
09B,1
1.1563.01,1
1.2379Mod,1
1.4153.03,1
1.4362,1
1.4424,1
1.4477,1
100MCW4,1
1080+,1
1095 Cro-Van,1
1095CV,1
110X18MSHD,1
125SC,1
125V,1
12C27M,1
12C27Mod,1
14-4CrMo,1
154CM,1
1655,1
1770,1
1778,1
19133,1
19191,1
19192PH,1
19221,1
19313,1
19314,1
19419,1
19437,1
19559PH,1
19569,1
19571PH,1
19574,1
19852,1
1Cr18Mn8Ni5N,1
2002 Extra,1
20AP,1
20CP,1
20CV,1
259,1
25CD4,1
25ХМ,1
2723,1
2725,1
2782,1
2Cr13,1
2Cr14Mo,1
2P,1
3-C Special,1
30CrMoA,1
30XMA,1
32S,1
35VN,1
3Cr13,1
3G,1
3V,1
40X10S2M,1
420 Plus,1
420CW,1
420MoV,1
420Mod,1
440V,1
44B,1
4Cr13,1
4Cr13Mo,1
4Cr15MoVNi,1
4Ч2ВС,1
50100B,1
50110B,1
50CrMoV13-1,1
50LAR,1
55CrNiMoV5,1
56D,1
5Cr15MoV,1
5Cr3Mn1SiMo1,1
5ХНВС,1
5ХНМ,1
6-5-3,1
609,1
60ГА,1
66HS,1
67Chisel,1
67Tap,1
68ГА,1
6N6M-2,1
70,1
70CS,1
70HS,1
75А,1
7Cr17,1
7Cr17MoV,1
80CS,1
80CrV2,1
80HS,1
8Cr17,1
90MCV8,1
90MCW5,1
95CS,1
95Cr18,1
95HS,1
9Cr18MoV,1
9CrWMn,1
9Н5ВФ,1
A10,1
A11,1
A18,1
A3,1
A4,1
A50,1
A6,1
A7,1
A8,1
A9,1
ACD37,1
AF70C55,1
AH Chrome Die,1
AH5,1
AISI 030A52,1
AISI 050A20,1
AISI 050A86,1
AISI 055M15,1
AISI 060A52,1
AISI 060A57,1
AISI 060A62,1
AISI 060A67,1
AISI 060A78,1
AISI 060A83,1
AISI 060A96,1
AISI 060A99,1
AISI 070A72,1
AISI 070A78,1
AISI 070M55,1
AISI 080A40,1
AISI 080A62,1
AISI 080A67,1
AISI 080A72,1
AISI 080A86,1
AISI 080M30,1
AISI 080M36,1
AISI 080M40,1
AISI 080M46,1
AISI 080M50,1
AISI 100C2,1
AISI 100C3,1
AISI 100C6,1
AISI 100V1,1
AISI 1050,1
AISI 1060,1
AISI 1070,1
AISI 1074,1
AISI 1075,1
AISI 1080,1
AISI 1084,1
AISI 1090,1
AISI 1095,1
AISI 10H13,1
AISI 10X13,1
AISI 110X18,1
AISI 115W8,1
AISI 120M36,1
AISI 120W4,1
AISI 12C27,1
AISI 12X1,1
AISI 12X13,1
AISI 12X17,1
AISI 130C3,1
AISI 135C3,1
AISI 13C26,1
AISI 140C10,1
AISI 142W13,1
AISI 145V33,1
AISI 15N20,1
AISI 19C27,1
AISI 1C22,1
AISI 1C50,1
AISI 1H13,1
AISI 1K11,1
AISI 1K6,1
AISI 1K7,1
AISI 1K8,1
AISI 1K9,1
AISI 20H13,1
AISI 20X13,1
AISI 250A53,1
AISI 250A58,1
AISI 251A58,1
AISI 25C8,1
AISI 26C3,1
AISI 2C22,1
AISI 2C60,1
AISI 2H13,1
AISI 2S117,1
AISI 2S119,1
AISI 303S31,1
AISI 304S15,1
AISI 304S16,1
AISI 304S17,1
AISI 30C8,1
AISI 30X13,1
AISI 316S13,1
AISI 316S26,1
AISI 320S17,1
AISI 320S31,1
AISI 320S33,1
AISI 35C4,1
AISI 3C45,1
AISI 3C55,1
AISI 3H13,1
AISI 3S95,1
AISI 40C8,1
AISI 40X13,1
AISI 410S21,1
AISI 4130,1
AISI 416S21,1
AISI 420,1
AISI 420J1,1
AISI 420J2,1
AISI 420S37,1
AISI 420S45,1
AISI 42C2,1
AISI 42C4,1
AISI 430S15,1
AISI 430S17,1
AISI 434S17,1
AISI 440A,1
AISI 440B,1
AISI 440C,1
AISI 45C2,1
AISI 45C8,1
AISI 4H13,1
AISI 50C4,1
AISI 50C8,1
AISI 527A60,1
AISI 527H60,1
AISI 530A40,1
AISI 530H40,1
AISI 530M40,1
AISI 534A99,1
AISI 535A99,1
AISI 55C2,1
AISI 55C3,1
AISI 55C8,1
AISI 55S2,1
AISI 55S7,1
