grade,db_grade,link,updated_fields,source,note
A11,A11,https://zknives.com/knives/steels/a11.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
R0M2SF10,R0M2SF10,https://zknives.com/knives/steels/r0m2sf10.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech",zknives_mismatches.csv,link
R0M2SF10-MP,R0M2SF10-MP,https://zknives.com/knives/steels/r0m2sf10-mp.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech",zknives_mismatches.csv,link
T30111,T30111,https://zknives.com/knives/steels/t30111.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
K294,K294,https://zknives.com/knives/steels/k294.shtml,"standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
Micro-Melt A11,Micro-Melt A11,https://zknives.com/knives/steels/micro-melt_a11.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
PMA11,PMA11,https://zknives.com/knives/steels/pma11.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
PSF59,PSF59,https://zknives.com/knives/steels/psf59.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
CPM 10V,CPM 10V,https://zknives.com/knives/steels/cpm_10v.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
PM A11,PM A11,https://zknives.com/knives/steels/pm_a11.shtml,"manufacturer,standard,w,co,ni,s,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
PMD10,PMD10,https://zknives.com/knives/steels/pmd10.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
ASP2011,ASP2011,https://zknives.com/knives/steels/asp2011.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
GPM10,GPM10,https://zknives.com/knives/steels/gpm10.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
DuraTech A11,DuraTech A11,https://zknives.com/knives/steels/duratech_a11.shtml,"manufacturer,standard,w,co,ni,s,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
LO-QPM A11,LO-QPM A11,https://zknives.com/knives/steels/lo-qpm_a11.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
A11 Mod,A11 Mod,https://zknives.com/knives/steels/a11_mod.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
PM10,PM10,https://zknives.com/knives/steels/pm10.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
Stellapur PM10,Stellapur PM10,https://zknives.com/knives/steels/stellapur_pm10.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
TSP10,TSP10,https://zknives.com/knives/steels/tsp10.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
Z-A11 PM,Z-A11 PM,https://zknives.com/knives/steels/z-a11_pm.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
Z-A11,Z-A11,https://zknives.com/knives/steels/z-a11.shtml,"manufacturer,standard,w,co,ni,cu,nb,n,tech,analogues",zknives_mismatches.csv,link
