grade,link,zknives_maker,cc,zknives_country,db_standard,db_country,db_type,issues
A11,https://zknives.com/knives/steels/a11.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
R0M2SF10,https://zknives.com/knives/steels/r0m2sf10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
R0M2SF10-MP,https://zknives.com/knives/steels/r0m2sf10-mp.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
T30111,https://zknives.com/knives/steels/t30111.shtml,Bohler-Uddeholm,US,США,"UNS T30111, США",США,government,expected_proprietary_got_government
K294,https://zknives.com/knives/steels/k294.shtml,Bohler-Uddeholm,US,США,"Bohler-Uddeholm, Швеция",Швеция,proprietary,country_mismatch
Micro-Melt A11,https://zknives.com/knives/steels/micro-melt_a11.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
PMA11,https://zknives.com/knives/steels/pma11.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
PSF59,https://zknives.com/knives/steels/psf59.shtml,Bohler-Uddeholm,US,США,"Carpenter, США",США,proprietary,maker_mismatch
CPM 10V,https://zknives.com/knives/steels/cpm_10v.shtml,Bohler-Uddeholm,US,США,"Crucible, США",США,proprietary,maker_mismatch
PM A11,https://zknives.com/knives/steels/pm_a11.shtml,Bohler-Uddeholm,US,США,"Diehl, США",США,proprietary,maker_mismatch
PMD10,https://zknives.com/knives/steels/pmd10.shtml,Bohler-Uddeholm,US,США,"Dorrenberg, Германия",Германия,proprietary,country_mismatch;maker_mismatch
ASP2011,https://zknives.com/knives/steels/asp2011.shtml,Bohler-Uddeholm,US,США,"Erasteel, Франция",Франция,proprietary,country_mismatch;maker_mismatch
GPM10,https://zknives.com/knives/steels/gpm10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
DuraTech A11,https://zknives.com/knives/steels/duratech_a11.shtml,Bohler-Uddeholm,US,США,"Latrobe, США",США,proprietary,maker_mismatch
LO-QPM A11,https://zknives.com/knives/steels/lo-qpm_a11.shtml,Bohler-Uddeholm,US,США,"Lohmann, Германия",Германия,proprietary,country_mismatch;maker_mismatch
A11 Mod,https://zknives.com/knives/steels/a11_mod.shtml,Bohler-Uddeholm,US,США,"PSM Industries, Германия",Германия,proprietary,country_mismatch;maker_mismatch
PM10,https://zknives.com/knives/steels/pm10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
Stellapur PM10,https://zknives.com/knives/steels/stellapur_pm10.shtml,Bohler-Uddeholm,US,США,Stellapur PM10,,proprietary,maker_mismatch
TSP10,https://zknives.com/knives/steels/tsp10.shtml,Bohler-Uddeholm,US,США,,,,missing_standard
