link,title,maker,country,cc,country_raw
https://zknives.com/knives/steels/!20.shtml,"GB #20 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!45.shtml,"GB #45 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!55.shtml,"GB #55 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!40.shtml,"GB #40 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!50.shtml,"GB #50 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!70.shtml,"GB #70 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!60.shtml,"GB #60 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!80.shtml,"GB #80 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!85.shtml,"GB #85 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!75.shtml,"GB #75 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/00cr17ni14mo2.shtml,"GB 00Cr17Ni14Mo2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/!65.shtml,"GB #65 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/00h17n13m2.shtml,"PN 00H17N13M2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Польша,PL,Poland(PL)
https://zknives.com/knives/steels/00h17n14m2.shtml,"PN 00H17N14M2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Польша,PL,Poland(PL)
https://zknives.com/knives/steels/022cr17ni12mo2.shtml,"GB 022Cr17Ni12Mo2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
https://zknives.com/knives/steels/0170-6c.shtml,"Camillus 0170-6C Knife SteelComposition Analysis Graph, Equivalents And Overview",Camillus,США,US,United States(US)
https://zknives.com/knives/steels/0170-6.shtml,"Sharon Steel 0170-6 Knife SteelComposition Analysis Graph, Equivalents And Overview",,США,US,United States(US)
https://zknives.com/knives/steels/030a52.shtml,"BS 030A52 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/03kh17n13m2.shtml,"GOST 03KH17N13M2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Россия,RU,Russia(RU)
https://zknives.com/knives/steels/050a20.shtml,"BS 050A20 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/03x17h13m2.shtml,"GOST 03X17H13M2 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Россия,RU,Russia(RU)
https://zknives.com/knives/steels/050a86.shtml,"BS 050A86 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/055m15.shtml,"BS 055M15 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a52.shtml,"BS 060A52 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a67.shtml,"BS 060A67 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a57.shtml,"BS 060A57 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a96.shtml,"BS 060A96 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a62.shtml,"BS 060A62 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a78.shtml,"BS 060A78 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a83.shtml,"BS 060A83 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/060a99.shtml,"BS 060A99 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Великобритания,UK,United Kingdom(UK)
https://zknives.com/knives/steels/06cr19ni10.shtml,"GB 06Cr19Ni10 Knife SteelComposition Analysis Graph, Equivalents And Overview",,Китай,CN,China(CN)
