Grade (Latin);Grade (Cyrillic)
03KH17N13M2*;03Х17Н13М2*
03X17H13M2;03Х17Н13М2
08Ch17N13M2;08Ч17Н13М2
08Ch18N10*;08Ч18Н10*
08KH17N13M2*;08Х17Н13М2*
08KH17N13M2T*;08Х17Н13М2Т*
08KH18N10;08Х18Н10
08X17N13M2;08Х17Н13М2
08X18H10;08Х18Н10
08X18N10;08Х18Н10
100KH13M*;100Х13М*
100X13M;100Х13М
10H13*;10Н13*
10KH13;10Х13
10KH17N13M2T;10Х17Н13М2Т
10X13;10Х13
110KH18;110Х18
110KH18MSHD*;110Х18МШД*
110X18;110Х18
110X18M;110Х18М
110X18MSHD*;110Х18МШД*
11KH;11Х
11KH4V2MF3S2*;11Х4В2МФ3С2*
11KHF*;11ХФ*
11M5F*;11М5Ф*
11R3AM3F2*;11Р3АМ3Ф2*
11X;11Х
11X4V2MF3S2;11Х4В2МФ3С2
11XF;11ХФ
120KH;120Х
120X;120Х
12Ch17*;12Ч17*
12CH18N10E*;12Ч18Н10Е*
12KH1*;12Х1*
12KH13;12Х13
12KH17;12Х17
12KH18N10E*;12Х18Н10Е*
12KH18N9;12Х18Н9
12X1;12Х1
12X13;12Х13
12X17;12Х17
12X18N10E*;12Х18Н10Е*
13KH*;13Х*
13X;13Х
15KH17N7;15Х17Н7
15X17N7;15Х17Н7
20*;20*
20Ch13;20Ч13
20H13;20Н13
20KH13*;20Х13*
20X13;20Х13
25XM*;25ХМ*
30*;30*
30KH13*;30Х13*
30KHM;30ХМ
30KHMA;30ХМА
30X13;30Х13
30XM*;30ХМ*
30XMA;30ХМА
35*;35*
35ChM;35ЧМ
35KHM;35ХМ
35XM;35ХМ
38Ch2N2MA*;38Ч2Н2МА*
38CHM;38ЧМ
38KH2N2MA;38Х2Н2МА
38KHM;38ХМ
38X2N2MA;38Х2Н2МА
38XM;38ХМ
3KH3M3F*;3Х3М3Ф*
3X3M3F;3Х3М3Ф
40*;40*
40CH13;40Ч13
40CH16M;40Ч16М
40HFA*;40НФА*
40KH*;40Х*
