Марка AISI и брендовые;UNS;EN;C;Mn;Si;Cr;Ni;P;S;Mo;N;Cu;Прочие элементы;;;;;;
Аустенитные;;;;;;;;;;;;;;;;;;;
201;S20100;1.4372;0,15;5,5-7,5;1,00;16,0-18,0;3,5-5,5;0,06;0,03;;0,25 N;;;;;;;;
202;S20200;1.4373;0,15;7,5-10,0;1,00;17,0-19,0;4,0-6,0;0,06;0,03;;0,25 N;;;;;;;;
301;S30100;1.4310;0,15;2,0;1,00;16,0-18,0;6,0-8,0;0,045;0,03;;;;—;;;;;;
302;S30200;1.4319;0,15;2,0;1,00;17,0-19,0;8,0-10,0;0,045;0,03;;;;—;;;;;;
302B;S30215;;0,15;2,0;2,0-3,0;17,0-19,0;8,0-10,0;0,045;0,03;;;;—;;;;;;
303;S30300;1.4305;0,15;2,0;1,00;17,0-19,0;8,0-10,0;0,20;0,15 min;0-0,6 Mo;;;;;;;;;
303Se;S30323;;0,15;2,0;1,00;17,0-19,0;8,0-10,0;0,20;0,06;;;;0,15 Se min;;;;;;
304;S30400;1.4301;0,08;2,0;1,00;18,0-20,0;8,0-10,5;0,045;0,03;;;;—;;;;;;
304H;S30409;1.4948;0,04-0,10;2,0;1,00;18,0-20,0;8,0-10,5;0,045;0,03;;;;—;;;;;;
304L;S30403;1.4306;0,03;2,0;1,00;18,0-20,0;8,0-12,0;0,045;0,03;;;;—;;;;;;
;S30409;;0,04-0,10;≤2,00;≤0,75;18,0-20,0;8,0-11,0;≤0,045;≤0,030;—;—;—;—;;;;;;
304LN;S30453;1.4311;0,03;2,0;1,00;18,0-20,0;8,0-12,0;0,045;0,03;;0,10-0,16 N;;;;;;;;
304N;S30451;;0,08;2,0;1,00;18,0-20,0;8,0-10,5;0,045;0,03;;0,10-0,16 N;;;;;;;;
305;S30500;1.4303;0,12;2,0;1,00;17,0-19,0;10,0-13,0;0,045;0,03;;;;—;;;;;;
308;S30800;;0,08;2,0;1,00;19,0-21,0;10,0-12,0;0,045;0,03;;;;—;;;;;;
Alleima® 253 MA;S30815;1.4835;0,05-0,10;≤2,00;1,40-2,00;20,0-22,0;10,0-12,0;≤0,040;≤0,015;0,75-1,50;0,14-0,20;—;"Ce: 0,03-0,08; Nb: ≤0,10";;;;;;
309;S30900;1.4828;0,20;2,0;1,00;22,0-24,0;12,0-15,0;0,045;0,03;;;;—;;;;;;
309S;S30908;1.4833;0,08;2,0;1,00;22,0-24,0;12,0-15,0;0,045;0,03;;;;—;;;;;;
310;S31000;1.4845;0,25;2,0;1,50;24,0-26,0;19,0-22,0;0,045;0,03;;;;—;;;;;;
Alleima® 2RE10;S31002;1.4333;0,015;2,00;0,15;24,0-26,0;19,0-22,0;0,020;0,015;0,10;0,100;—;—;;;;;;
"310S
Alleima® 7RE10";S31008;1.4845;0,08;2,0;1,50;24,0-26,0;19,0-22,0;0,045;0,03;;;;—;;;;;;
Alleima® 2RE69;S31050;1.4541;0,03;2,00;0,50;24,0-26,0;21,0-23,0;0,030;0,010;2,00-3,00;0,100-0,160;—;—;;;;;;
314;S31400;;0,25;2,0;1,5-3,0;23,0-26,0;19,0-22,0;0,045;0,03;;;;—;;;;;;
316;S31600;1.4401;0,08;2,0;1,00;16,0-18,0;10,0-14,0;0,040;0,03;2,0-3,0 Mo;;;;;;;;;
