Марка AISI брендовые;UNS;EN;C;Cr;Ni;Mo;N;Mn;Cu;W;Другие
329;S32900;1.4460;0,08;23,0-28,0;2,5-5,0;1,0-2,0;—;1,00;—;—;—
"3RE60
Alleima® 3RE60";S31500;1.4424;0,03;18,0-19,0;4,3-5,2;2,5-3,0;0,05-0,1;—;—;—;—
U50;S32004;1.4362;0,04;20,5-22,5;5,5-8,5;2,0-3,0;0,20;2,00;1,0-2,0;—;—
2304;S32001;1.4362;0,03;19,5-21,5;1,0-3,0;0,6;0,05-0,17;4,0-6,0;1,0;—;—
2304;S32101;1.4162;0,04;21,0-22,0;1,35-1,7;0,1-0,8;0,20-0,25;4,0-6,0;0,1-0,8;—;—
2304;S32202;1.4062;0,03;21,5-24,0;1,0-2,8;0,45;0,18-0,26;2,00;—;—;—
2304;S82011;1.4482;0,03;20,5-23,5;1,0-2,0;0,1-1,0;0,15-0,27;2,0-3,0;0,5;—;—
"2304
SAF™ 2304";S32304;1.4362;0,03;21,5-24,5;3,5-5,5;0,05-0,6;0,05-0,20;2,50;0,05-0,60;—;—
2304;;1.4462;0,03;22,0-24,0;3,5-5,5;0,1-0,6;0,05-0,20;2,00;1,0-3,0;—;—
2205;S32003;1.4462;0,03;19,5-22,5;3,0-4,0;1,5-2,0;0,14-0,20;2,00;—;—;—
"2205
Sanmac® 2205";S31803;;0,03;21,0-23,0;4,5-6,5;2,5-3,5;0,08-0,20;2,00;—;—;—
2205;S32205;1.4462;0,03;22,0-23,0;4,5-6,5;3,0-3,5;0,14-0,20;2,00;—;—;—
44LN;S31200;1.4466;0,03;24,0-26,0;5,5-6,5;1,2-2,0;0,14-0,20;2,00;—;—;—
DP3;S31260;1.4662;0,03;24,0-26,0;5,5-7,5;2,5-3,5;0,10-0,30;1,00;0,2-0,8;0,1-0,5;—
25 Cr;S32506;1.4507;0,03;24,0-26,0;5,5-7,2;2,0-3,5;0,10-0,30;1,00;—;0,05-0,30;—
25 Cr;S32520;1.4501;0,03;24,0-26,0;5,5-8,0;3,0-4,0;0,23-0,35;1,50;0,5-2,0;—;—
255;S32550;1.4507;0,04;24,0-27,0;4,5-6,5;2,9-3,9;0,25;1,50;1,5-2,5;—;—
—;—;1.4662;0,03;21,0-23,0;5,5-6,5;2,5-3,0;0,12-0,22;≤2,0;≤0,5;—;—
2507;S32750;1.4410;0,03;24,0-26,0;6,0-8,0;3,0-5,0;0,24-0,32;1,20;0,5;—;—
Z100;S32760;1.4501;0,03;24,0-26,0;6,0-8,0;3,0-4,0;0,20-0,30;1,00;0,5-1,0;0,5-1,0;—
2507;S32808;—;0,03;27,0-27,9;7,0-8,2;0,8-1,2;0,30-0,40;1,10;—;2,1-2,5;—
"2507
Safurex®";S32906;1.4477;0,03;28,0-30,0;5,8-7,5;1,5-2,6;0,30-0,40;0,80-1,5;0,8;—;—
7MoPLUS;S32950;1.4477;0,03;26,0-29,0;3,5-5,2;1,0-2,5;0,15-0,35;2,00;—;—;—
2507;S39274;—;0,03;24,0-26,0;6,8-8,8;2,5-3,5;0,24-0,32;1,00;0,2-0,8;1,5-2,5;—
2507;S39277;—;0,025;24,0-26,0;6,5-8,0;3,0-4,0;0,23-0,33;0,80;1,2-2,0;0,8-1,2;—
2507;;1.4410;0,03;28,0-30,0;5,8-7,5;1,5-2,6;0,30-0,40;0,80-1,50;≤0,8;—;—
SAF™ 2707 HD;S32707;1.4658;0,03;26,0-29,0;5,5-9,5;4,0-5,0;0,30-0,50;1,50;1,0;—;Co ≤1,0
SAF™ 3207 HD;S33207;—;0,03;29,0-33,0;6,0-9,0;3,0-5,0;0,40-0,60;1,50;1,0;—;—
