;;;;;ХИМИЧЕСКИЙ СОСТАВ, %;;;;;;;;
Bohler;Uddeholm;Buderus;EN;Метод производства;C;Si;Mn;Cr;Mo;Ni;V;W;проч
;FERMO;;1.7140;Стандартный;0,5;0,4;0,9;1,5;;;;;
M201 листы;;2311 ISO-BM;1.2311;Стандартный;0,40;0,3;1,5;2,0;0,2;;;;
M200;HOLDAX;2312;1.2312;Стандартный;0,40;0,4;1,5;1,9;0,2;;;;S<0,07
M238;IMPAX SUPREME;2738 ISO-BM;1.2738;Стандартный;0,38;0,3;1,5;2,0;0,2;1,1;;;S<0,01
M238 HH;;;1.2738;Стандартный;0,38;0,3;1,5;2,0;0,2;1,1;;;S<0,01
M268 VMR;;;1.2738;ВДП;0,38;0,30;1,50;2,00;0,20;1,10;;;
;;Buderus Efficient;;Стандартный;0,30;0,10;1,45;1,35;0,60;;;;
;;BMS Extra Hard;;Стандартный;0,30;0,12;1,50;1,50;0,55;0,60;;;
;;Thruhard Supreme HH;;Стандартный;0,26;0,10;1,45;1,25;0,60;;;;
;;Thruhard Supreme HHH;;Стандартный;0,26;0,10;1,45;1,25;0,60;;;;
;;Thruhard Diamond;;ЭШП;0,28;0,10;1,45;1,25;0,70;;;;
;;HIPERDIE;;Стандартный;0,35;0,35;0,50;2,70;1,00;0,60;0,20;;
;;9966 SuperClean;;Стандартный с высокой очиской ;0,33;0,25;0,20;1,50;0,80;3,00;0,30;;
;;2711 ISO-B;1.2711;Стандартный;0,52;0,20;0,70;0,75;0,30;;;;
M261 EXTRA;;;;"Стандартный
Закалка на тв. Раст.";0,13;0,30;2,00;0,35;;3,50;;;"S=0,13
Al=1,2"
;NIMAX;;;"Стандартный
Термомех. Обработка";0,09;0,30;2,50;3,00;0,30;1,00;;;
;RAMAX HH;;;Стандартный;0,12;0,20;1,30;13,40;0,50;1,60;0,20;;"S=0,1
+N"
M314;;2085;~1.2085;Стандартный;0,34;0,35;1,40;16,00;0,15;0,65;;;S=0,12
;;2085 Mod;;Стандартный;0,28;0,30;0,95;14,20;1,10;0,50;;;+
M315;ROYALLOY;;;"Стандартный
Закалка на тв. Раст.";0,05;0,20;0,90;12,80;;0,45;;;S=0,1
M300 ISOPLAST;;;~1.2316;Стандартный;0,38;0,40;0,65;16,00;1,00;0,80;;;
