Grade;Base;C;Cr;Mo;V;W;Co;Ni;Mn;Si;S;P;Cu;Nb;N;Tech;Maker;CC
"A11*R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PMA11
PSF59
CPM 10V*
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,40-2,50;4,75-5,75;1,10-1,50;9,25-10,25;0;0;0;0,35-0,60;0,75-1,10;0,050-0,090;?;0;0;0;;;US
"T30111A11*
R0M2SF10*
R0M2SF10-MP
K294*
Micro-Melt A11*
PMA11
PSF59
CPM 10V*
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,40-2,50;4,75-5,75;1,10-1,50;9,25-10,25;0;0;0;0,35-0,60;0,75-1,10;0,050-0,090;?;0;0;0;;;US
"K294*A11*
R0M2SF10*
R0M2SF10-MP
T30111
Micro-Melt A11*
PMA11
PSF59
CPM 10V*
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,45;5,2;1,3;9,7;0;0;0;0,5;0,9;0,09;?;0;0;0;PM;Bohler-Uddeholm;SE
"Micro-Melt A11*A11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
PMA11
PSF59
CPM 10V*
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,40-2,50;4,75-5,75;1,10-1,50;9,25-10,25;0;0;0;0,35-0,60;0,75-1,10;0,05-0,09;?;0;0;0;MM;Carpenter;US
"PMA11A11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PSF59
CPM 10V*
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,40-2,50;4,75-5,75;1,10-1,50;9,25-10,25;0;0;0;0,35-0,60;0,75-1,10;0,05-0,09;?;0;0;0;MM;Carpenter;US
"PSF59A11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PMA11
CPM 10V*
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,40-2,50;4,75-5,75;1,10-1,50;9,25-10,25;0;0;0;0,35-0,60;0,75-1,10;0,05-0,09;?;0;0;0;SF;Carpenter;US
"CPM 10V*A11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PMA11
PSF59
PM A11*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,45;5,25;1,3;9,75;0;0;0;0,5;0,9;0,07;?;0;0;0;CPM;Crucible;US
"PM A11*A11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PMA11
PSF59
CPM 10V*
PMD10*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,45;5,25;1,35;9,8;0;0;0;0,5;0,9;?;?;0;0;0;PM;Diehl;US
"PMD10*A11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PMA11
PSF59
CPM 10V*
PM A11*
ASP2011*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,45;5,25;1,2;9,75;0;0;0;?;?;?;?;0;0;0;PM;Dorrenberg;DE
"ASP2011*A11*
R0M2SF10*
R0M2SF10-MP
T30111
K294*
Micro-Melt A11*
PMA11
PSF59
CPM 10V*
PM A11*
PMD10*
GPM10*
DuraTech A11*
LO-QPM A11*
A11 Mod*
PM10*
Stellapur PM10
TSP10*
Z-A11 PM
Z-A11
Z-10 PM cold";Fe;2,45;5,25;1,3;9,75;0;0;0;?;?;?;?;0;0;0;PM;Erasteel;FR
