Марки AISI и брендовые;UNS;EN;C;Mn;Si;Cr;Ni;P;S;Прочие элементы;;
403;S40300;1.4000;0,15;1;0,5;11,5-13,0;—;0,04;0,03;—;;
410;S41000;1.4006;0,15;1;1;11,5-13,5;—;0,04;0,03;—;;
410D;S41001;;0,01–0,03;0,20–0,60;0,50 макс.;11,5–12,5;0,40 макс.;0,04 макс.;0,03 макс.;N: 0,03–0,08%;;
414;S41400;;0,15;1;1;11,5-13,5;1,25-2,50;0,04;0,03;—;;
F6NM;S41500;;0,05 макс.;0,50–1,00;0,60 макс.;11,5–14,0;3,5–5,5;0,030 макс.;0,030 макс.;Mo: 0,50–1,00%;;
416;S41600;1.4005;0,15;1,25;1;12,0-14,0;—;0,04;0,15 min;—;;
420;S42000;1.4021;0,15 min;1;1;12,0-14,0;—;0,04;0,03;—;;
422;S42200;;0,20-0,25;1;0,75;11,0-13,0;0,5-1,0;0,025;0,025;"0,75-1,25 Mo; 0,75-1,25 W; 0,15-0,3 V";;
431;S43100;1.4057;0,2;1;1;15,0-17,0;1,25-2,50;0,04;0,03;—;;
440A;S44002;1.4125;0,60-0,75;1;1;16,0-18,0;—;0,04;0,03;0,75 Mo;;
440B;S44003;1.4125;0,75-0,95;1;1;16,0-18,0;—;0,04;0,03;0,75 Mo;;
440C;S44004;1.4125;0,95-1,20;1;1;16,0-18,0;—;0,04;0,03;0,75 Mo;;
CA-6NM;J91540;;0,06;1;1;11,5-14,0;3,5-4,5;0,04;0,03;0,40-1,0 Mo;;
CA-15;J91150;;0,15;1;1,5;11,5-14,0;1;0,03;0,03;0,5 Mo;;
CA-40;J91153;;0,20-0,40;1;1,5;11,5-14,0;1;0,03;0,03;0,5 Mo;;
A387;-;;0,05–0,15;0,30–0,60;0,50 макс.;0,50–0,80;—;0,035 макс.;0,040 макс.;Mo: 0,45–0,65%;;
