Сплавы;UNS;EN;Ni;C;Mn;Fe;S;Si;Cu;Cr;Co;Mo;Al;Ti;Прочие элементы
Nickel 200;N02200;-;99,5;0,08;0,018;0,2;0,005;0,18;0,13;-;-;-;-;-;0,03 Mg, 0,05
Nickel 201;N02201;-;99,5;0,01;0,018;0,2;0,005;0,18;0,13;-;-;-;-;-;-
Nickel 205;N02205;-;99,5;0,01;0,018;0,10;0,002;0,08;0,03;-;-;-;-;-;-
Nickel 212;-;-;97,7;0,01;0,003;0,10;0,002;0,05;0,01;0,01;0,06;0,01;0,01;-;MgO 0,08
Nickel 222;-;-;99,8;0,01;0,003;<0,001;<0,001;<0,001;<0,001;<0,001;-;-;-;-;Mg <0,001
MONEL alloy 400;N04400;2.4360;63,0 мин.;0,15;1,00;25 макс.;0,024 макс.;0,5 макс.;31,0;-;-;-;-;-;-
MONEL alloy 500;N05500;2.4375;63,0 мин.;0,15;1,5 макс.;2,5 макс.;0,02 макс.;0,5;30,0;-;-;-;2,9;0,6;-
Cast MONEL alloy;-;-;63,0 мин.;0,07;0,75;2,5 макс.;0,02 макс.;0,04 макс.;30,0;0,10 макс.;-;0,20 макс.;0,05 макс.;0,01 макс.;-
Cast MONEL alloy;-;-;63,0 мин.;0,03 макс.;0,020 макс.;2,5 макс.;0,02 макс.;0,04 макс.;30,0;0,10;-;0,20 макс.;0,05 макс.;0,01 макс.;-
INCONEL alloy 600;N06600;2.4816;≥72,0;≤0,15;≤1,0;6,0–10,0;≤0,015;≤0,5;≤0,05;14,0–17,0;–;–;–;–;Nb + Ta: 3,65–4,15
INCONEL alloy 617;N06617;2.4663;44,0–56,0;≤0,10;≤0,5;≤3,0;≤0,015;≤0,5;≤0,3;20,0–24,0;10,0–15,0;8,0–10,0;0,8–1,5;≤0,6;B: ≤0,006, Zr: ≤0,01
INCONEL alloy 625;N06625;2.4856;58,0–63,0;≤0,10;≤0,5;≤5,0;≤0,015;≤0,5;–;20,0–23,0;–;8,0–10,0;≤0,4;≤0,4;Nb + Ta: 3,15–4,15
INCONEL alloy 718;N07718;2.4668;50,0–55,0;≤0,08;≤0,35;Остальное;≤0,015;≤0,35;≤0,3;17,0–21,0;≤1,0;2,8–3,3;0,2–0,8;0,65–1,15;Nb + Ta: 4,75–5,5, B: ≤0,006
INCOLOY alloy 800;N08800;1.4876;32,5;0,10 макс.;1,5 макс.;Баланс;0,015 макс.;1,0 макс.;0,75 макс.;21,0;-;-;0,38;0,30;-
"Alloy 800 HT
Sanicro® 31HT ";N08811;1.4959;30,5;0,07;0,6;Баланс;≤0,010;0,6;—;20,5;0,02 макс.;—;0,5;0,5;—
INCOLOY alloy 825;N08825;2.4858;42,0;0,05 макс.;1,0 макс.;Баланс;0,03 макс.;0,5 макс.;2,25;21,5;-;3,0;0,20 макс.;0,9;-
INCOLOY alloy 904;N08904;1.4539;32,5;0,025;0,25;Баланс;0,015;0,25;-;14,5;-;-;0,1;1,6;-
INCOLOY alloy DS;-;-;37,0;1,2;1,2;Баланс;-;2,3 макс.;2,3 макс.;18,0;-;-;-;0,20;-
Hastalloy B;N10001;-;Баланс;0,10;0,80;5,58;-;-;-;0,6;1,25;28,0;-;-;-
Hastalloy C;N10276*;-;Баланс;0,07;0,80;5,75;-;-;-;16,0;-;17,0;-;-;-
Hastalloy G;N06007;2.4618;Баланс;0,07;0,80;18,0-21,0;-;-;-;21,0-23,5;-;5,575;-;-;-
Nimonic® 75;N06075;2.4631;Бал.;0,08-0,15;-;-;-;1,00 макс.;0,50 макс.;18,0-21,0;-;-;-;0,20-0,60;-
Nimonic® 80A;N07080;2.4632;Бал.;- 0,10;1,00 макс.;3,00 макс.;0,015;1,00 макс.;0,20 макс.;18,0-21,0;2,00 макс.;-;1,00-1,80;1,80-2,70;B 0,008, Zr 0,15, Pb 0,0025
Nimonic® 90;N07090;"2.4969
2.4632";Баланс;0.08–0.16;≤1.0;≤1.0;≤0.015;≤1.0;≤0.5;17.0–21.0;15.0–21.0;-;1.0–2.0;2.0–2.6;B ≤0.01, Zr ≤0.07
Nitronic® 50;S20910;1.3964;11,50-13,50;0,06 макс.;4,00-6,00;Бал.;0,03 макс.;1,00 макс.;-;20,50-23,50;-;1,50-3,00;-;-;N 0,20-0,40, Nb 0,10-0,30, V 0,10-0,30
P550;-;1.3813; -  ; 0,30-0,50 ; 17,00-19,00;Баланс; ≤0,030 ; ≤0,80 ; -  ; 3,00-5,00; -  ; -  ; -  ; -  ; 0,080-0,120 N, ≤0,100 P 
P500;-;1.4565; 16,00-19,00 ; ≤0,03 ; 3,50-6,50 ;Баланс; ≤0,015 ; ≤1,00 ; - ; 23,00-26,00 ; - ; 3,00-5,00 ; - ; - ; 0,300-0,600 N, ≤0,150 Nb, ≤0,030 P 
AMAGNIT 3890 mod;-;-;0,35;<0,05;20;Баланс;<0,005;0,5;-;13;-;0,5;-;-;0,3 N2
X 3 MnCrNiMoN 20 13;-;-;~13,0;≤0,06;20,5-21,6;Баланс;-;-;-;18,3-20,0;-;≥0,50;-;-;≥0,60 N
TWZ-3HS (P550);-;-;1,40 мин;≤0,06;20,50-21,60;Баланс;-;-;-;18,30-20,00;-;≥0,50;-;-;≥0,60 N
