Марки AISI и брендовые;UNS;EN;C;Mn;Si;Cr;Ni;P;S;Mo;N;Other Elements (прочие элементы)
405;S40500;1.4002;0,08;1;1;11,5-14,5;—;0,04;0,03;;;0,10 - 0,30 Al
409;S40900;1.4512;0,08;1;1;10,5-11,75;—;0,045;0,045;;;Ti, 6 × %C min,
;S41003;;0,03;1,50;1,00;10,50-12,50;1,50;0,040;0,030;—;0,030;—
429;S42900;1.4510;0,12;1;1;14,0-16,0;—;0,04;0,03;;;—
430;S43000;1.4016;0,12;1;1;16,0-18,0;—;0,04;0,03;;;—
430Ti;S43036;;0,1;1;1;16,0-19,5;0,75;0,04;0,03;;;Ti, 5 × %C min,, 0,75 max
434;S43400;1.4113;0,12;1;1;16,0-18,0;—;0,04;0,03;0,75 - 1,25;;
436;S43600;;0,12;1;1;16,0-18,0;—;0,04;0,03;0,75 - 1,25;;(Nb+Ta), 5 × %C min
439;S43035;1.4510;0,07;1;1;17,0-19,0;0,5;0,04;0,03;;0,04 N max;"0,15 Al max,;"
;S43940;;0,03;1,00;1,00;17,50-18,50;—;0,040;0,015;—;—;Ti: 0,10-0,60, Nb >= (3×C + 0,30)
442;S44200;1.4762;0,2;1;1;18,0-23,0;—;0,04;0,03;;;Ti, 0,20 + 4(%C + %N) min
444;S44400;1.4521;0,025;1;1;17,5-19,5;1;0,04;0,03;;;Ti, 0,20 + 4(%C + %N) min,
446;S44600;1.4762;0,2;1,5;1;23,0-27,0;—;0,04;0,03;;0,25 N;
26-1;S44626;;0,006;0,75;0,75;25,0-27,0;0,5;0,04;0,02;0,75 - 1,50 ;0,04 N;0,20-1,0 Ti
29-4;S44700;;0,01;0,2;0,3;28,0-30,0;0,15;0,025;0,02;3,5 - 4,2 ;;"0,020 Ni; 0,015 Cu"
29-4-2;S44800;;0,01;0,2;0,3;28,0-30,0;2,0-2,5;0,025;0,02;3,5 - 4,2 ;;0,020 Ni, 0,015 Cu
CB-30;J91803;;0,3;1,5;1;18,0-21,0;2;0,04;0,04;;;—
CC-50;J92616;;0,5;1,5;1;26,0-30,0;4;0,04;0,04;;;—
1,4713;-;1.4713;0,12;1,00;0,50-1,00;6,00-8,00;—;0,040;0,015;—;—;0,50-1,00 Al
"1.4742
Alleima® 4C54";-;1.4742;0,12;1,00;0,70-1,40;17,00-19,00;—;0,040;0,015;—;—;0,70-1,20 Al
E-BRITE®;S44726;;0,01;0,4;0,4;25-27;0,3;0,02;0,02;0,75-1,5;0,015;0,05-0,20 Nb
MONIT™;S44635;;0,025;1;0,75;24,5-26;3,5-4,5;0,04;0,02;3,5-4,5;0,035;[0,20 + 4(C + N)] ≤ (Nb + Ti) ≤ 0,80
SEA-CURE®;S44660;;0,025;1;1;25-27;1,5-3,5;0,04;0,03;2,5-3,5;0,04;[0,20 + 4(C + N)] ≤ (Nb + Ti) ≤ 0,80
AL 29-4;S44700;;0,01;0,3;0,2;28-30;0,15;0,025;0,02;3,5-4,2;0,02;6(C + N) ≤ (Nb + Ti) ≤ 1,0
AL 29-4C;S44735;;0,03;1;1;28-30;1;0,04;0,03;3,6-4,2;0,045;—
AL 29-4-2;S44800;;0,01;0,3;0,2;28-30;2,0-2,5;0,02;0,02;3,5-4,2;0,02;—
SHOMAC® 30-2;—;;0,003;0,05;;30;0,2;;;2;0,007;—
;;;;;;;;;;;;
;;;;;;;;;;;;
